id,tipo,situacao,data,hora,bairro,endereco,numero,complemento,natureza,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,latitude,longitude
0,SEM VÍTIMA,FINALIZADA,2016-01-01,00:58:00,IPUTINGA,AV JORNALISTA POSSIDONIO CAVALCANTI BASTOS,,PROX A PONTE DA SALVAÇAO,COLISÃO,COLISAO ENTRE UMA VIATUA E UM CAMINHAO S/V,1,,,,,,1,,,0,-8.030678,-34.9309437
1,SEM VÍTIMA,FINALIZADA,2016-01-01,01:23:00,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,EM FRENTE AO SUPERMERCADO EXTRANO SEMAFORO 380,COLISÃO,COLISAO ENTRE DOIS AUTO S/V,2,,,,,,,,,0,-8.1111171,-34.8927465
2,SEM VÍTIMA,CANCELADA,2016-01-01,01:42:00,JORDÃO,RUA DR ALVARO FERRAZ,20,PROX A PRAÇA DO JORDAO DE BAIXO,COLISÃO,COLISAO ENTRE DOIS AUTO S/V,2,,,,,,,,,0,-8.131565,-34.9379114
3,SEM VÍTIMA,FINALIZADA,2016-01-01,03:08:00,IBURA,AV JORNALISTA COSTA PORTO,1080,PROX A ASSEMBLEIA DE DEUS SENTIDO ALTO DOIS CARNEIROS,COLISÃO,COLISAO ENTRE DOIS CARROS S/V,2,,,,,,,,,0,-8.1104992,-34.9595738
4,COM VÍTIMA,CANCELADA,2016-01-01,05:34:00,PAISSANDU,AV GOVERNADOR AGAMENON MAGALHAES,,EM FRENTE AO EDFICIO EMPRESARIAL ISACK NILTON AV GOVERNADOR  AGAMENON MAGALHAES NO CRUZAMENTO COM A RUA DOTOR RURAIS DE FORA,CHOQUE,MOTO CHOCOU-SE CONTRA A CALÇADA COM VITIMA,,1,,,,,,,,1,-8.0630605,-34.8977617
5,COM VÍTIMA,FINALIZADA,2016-01-01,07:26:00,CABANGA,AV SUL,,NO SEMAFORO Nº260,COLISÃO,COL.C/VSET.CD,1,1,,,,,,,,1,-8.0768693,-34.8949696
6,SEM VÍTIMA,FINALIZADA,2016-01-01,07:29:00,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,E/F  FARMÁCIA DO TRABALHADOR NO LADO DIREITO DA VIA. (NO SEMÁFORO Nº 216),COLISÃO,SEM VÍTIMAS,1,,,,,1,,,,0,-8.1111171,-34.8927465
7,SEM VÍTIMA,CANCELADA,2016-01-01,09:31:00,CAJUEIRO,RUA CORONEL URBANO RIBEIRO DE SENA,11,RUA   DA RADIO CAPIBARIBE,COLISÃO,COLISÃO SEM VITIMA,1,1,,,,,,,,0,-8.0150982,-34.8900557
8,SEM VÍTIMA,FINALIZADA,2016-01-01,07:41:00,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,NO SEMAFORO Nº534 E EM FRENTE DA EUROVIA RENAULT,COLISÃO,COL.S/V SET/AEROPORTO,2,,,,,,,,,0,-8.1134632,-34.912731
9,COM VÍTIMA,FINALIZADA,2016-01-01,08:35:00,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,SEMAFORO 142CRUZAMENTO DA CLINICAL CENTER,COLISÃO,COLISÃO COM VITIMAAQUARDANDO SAMU,,1,,,,,,1,,1,-8.1111171,-34.8927465
10,SEM VÍTIMA,FINALIZADA,2016-01-01,10:00:00,CASA AMARELA,AV DR EURICO CHAVES,603,EM FRENTE A IGREJA BATISTA DO MONTEIRO,COLISÃO,COLISÃO SEM VÍTIMA,2,,,,,,,,,0,-8.0236871,-34.9256509
11,SEM VÍTIMA,FINALIZADA,2016-01-01,10:31:00,AFOGADOS,RUA SAO MIGUEL,293,E/F A SÃO MIGUEL AUTO PEÇAS AO DO BANCO DO BRASIL. SENTIDO SUBÚRBIO ( SEMÁFORO Nº333),COLISÃO,SEM VÍTIMAS,2,,,,,,,,,0,-8.0804065,-34.9093194
12,SEM VÍTIMA,FINALIZADA,2016-01-01,15:30:00,TORRE,RUA ODETE MONTEIRO,,COM A RUA PROFESSOR ESTEVAO FRANCISCO DA COSTA PROX DA PADARIA RAINHA DA TORRE,COLISÃO,COLISAO DE DOIS AUTOS S/V,2,,,,,,,,,0,-8.0463331,-34.9202064
13,SEM VÍTIMA,FINALIZADA,2016-01-01,16:37:00,SAN MARTIN,AV GENERAL SAN MARTIN,,E/F DA CAVALARIA,COLISÃO,COLISAO DE MOTO E AUTO S/V,1,1,,,,,,,,0,-8.0683615,-34.9280654
14,SEM VÍTIMA,CANCELADA,2016-01-01,16:56:00,JORDÃO,RUA RIO XINGU,,NA ENTRADO DO JORDAO E/F DA BIG VALE,COLISÃO,COLISAO DE DOIS AUTOS S/V,2,,,,,,,,,0,-8.1198803,-34.9387852
15,COM VÍTIMA,FINALIZADA,2016-01-01,18:30:00,JAQUEIRA,AV RUI BARBOSA,,EM FRENTE AO PARQUE DA JAQUEIRA,COLISÃO,COLISÃO ENTRE QUATRO AUTO SEGUINTE DE UM CAPOTAMENTO DE UM DOS VEICULOS,4,,,,,,,,,1,-8.0386403,-34.9050081
16,SEM VÍTIMA,CANCELADA,2016-01-01,18:35:00,CASA FORTE,AV DEZESSETE DE AGOSTO,272,EM FRENTE AO RECANTO PARAIBANO,COLISÃO,COLISÃO ENTRE DOIS AUTO S/V,2,,,,,,,,,0,-8.0349606,-34.9120042
17,COM VÍTIMA,FINALIZADA,2016-01-01,23:09:00,BEBERIBE,AV BEBERIBE,4510,NO POSTO DE SAUDE DE BEBERIBE,ATROPELAMENTO,VEICULO SOBE CALÇADA E PEGA PEDESTRE QUEBRANDO MURO DO POSTO,1,,,,1,,,6,,1,-8.0040052,-34.8967899
18,SEM VÍTIMA,CANCELADA,2016-01-02,00:12:00,DERBY,RUA GUILHERME PINTO,,PERTO DA ACADEMIA TRENO // CRUZAMENTO COM A RUA JOAQUIM NABUCO,CHOQUE,CONDUTOR PERDEU O CONTROLE DO VEÍCULO E SE CHOCOU CONTRA O MURO DO EDIFÍCIO,1,,,,,,,,,0,-8.0527852,-34.90226
19,VÍTIMA FATAL,FINALIZADA,2016-01-02,06:32:00,BOA VISTA,RUA DA AURORA,,CRUZAMENTO COM RUA PRINCESA IZABEL,COLISÃO,SEGUNDO INFORMAÇÕES DE POPULARES O CONDUTOR DA MOTOCICLETA AVANÇOU O SINAL VERMELHO E COLIDIU NO ÔNIBUS DA CRT.,,,1,,,1,,,,,-8.0565882,-34.8781384
